objectid,Title,Genre/subgenre,Addition Date,Publication Date,Author,Format,Call Number,Publisher,Filename,,,,,,,,rights,rightsstatement
coll001,Crook Manifesto,Mystery,11/8/2023,2023,Colson Whitehead,Book,Mys: Whitehead,Doubleday,,,,,,,,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,Forever An Eaton,Romance,11/8/2023,2013,Rochelle Alers,Book,Rom: Alers,Harlequin Books S.A.,,,,,,,,,,
coll003,The Other Black Girl,Thriller,11/8/2023,2021,Zakiya Dalila Harris,Book,"Th: Harris, Zakiya Dalila",Atria Books,,,,,,,,,,
coll004,Black Cake,Contemporary Literature,11/8/2023,2022,Charmaine Wilkerson,Book,"Cl: Wilkerson, Charmaine",â€ŽRandom House Publishing Group ,,,,,,,,,,
coll005,,,,,,,,,,,,,,,,,,
coll006,,,,,,,,,,,,,,,,,,
coll007,,,,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,